GISJOIN,YEAR,STATE,TRACTA,race_white,race_black,race_american_indian_eskimo_aleut,race_asian_pacific_islander,race_other,housing_occupied,housing_vacant,year_built_1989_to_1990,year_built_1985_to_1988,year_built_1980_to_1984,year_built_1970_to_1979,year_built_1960_to_1969,year_built_1950_to_1959,year_built_1940_to_1949,year_built_1939_or_earlier,total_above_poverty,total_below_poverty,total_poverty_determined,poverty_rate,total_housing_units,occupancy_rate,avg_home_value_1990,2019-23_value,home_value_ratio_2019_23_to_1990
G06000104043,1990,California,4043,2840,151,10,211,25,1372,32,0,0,14,52,116,161,163,898,3098,139,3237,0.04294099474822367,1404,0.9772079772079773,382158.86454183265,1991600,5.2114452516696534
G06000104044,1990,California,4044,3669,224,38,395,94,2032,86,3,51,74,396,277,370,377,570,4283,130,4413,0.029458418309539994,2118,0.959395656279509,325998.4639016897,1399900,4.294192013193545
G06000104046,1990,California,4046,3568,186,6,327,25,1661,34,7,22,63,276,372,404,338,213,4034,74,4108,0.01801363193768257,1695,0.9799410029498525,374586.8495077356,1272100,3.3960081665219533
G06000104047,1990,California,4047,1539,255,0,75,11,743,26,6,0,0,23,58,137,249,296,1828,50,1878,0.026624068157614485,769,0.9661898569570871,352565.14657980454,1531400,4.343594410440005
G06000104048,1990,California,4048,1733,457,27,417,87,1296,56,0,71,31,109,127,186,184,644,2457,264,2721,0.0970231532524807,1352,0.9585798816568047,249679.4871794872,1176600,4.712441591784339
G06000104049,1990,California,4049,2718,461,6,878,89,1724,81,28,11,30,20,41,140,247,1288,3759,242,4001,0.060484878780304924,1805,0.9551246537396122,222927.02702702704,1199500,5.380684504685814
G06000104050,1990,California,4050,2214,469,10,410,86,1533,57,0,10,40,88,49,149,182,1072,3023,158,3181,0.049669915121031125,1590,0.9641509433962264,293146.437994723,1405200,4.793508696924011
G06000104051,1990,California,4051,3021,872,19,402,33,1573,37,0,7,17,7,90,74,134,1281,4232,101,4333,0.02330948534502654,1610,0.9770186335403727,377295.2279202279,1915500,5.076926126415246
G06000104052,1990,California,4052,2116,1023,0,1633,124,2411,154,49,13,11,149,165,337,377,1464,4357,517,4874,0.10607304062371768,2565,0.9399610136452242,232809.52380952382,1074700,4.6162200859071385
G06000104053,1990,California,4053,1832,1689,23,1716,211,2923,267,0,69,137,437,631,474,387,1055,4363,1074,5437,0.19753540555453375,3190,0.9163009404388714,248694.02985074627,860600,3.46047711927982
